X	Y	Data
11616	21296	0.070772
13552	21296	0.043922
15488	21296	0.137210
17424	21296	0.193384
19360	21296	0.200672
21296	21296	0.161472
23232	21296	0.090982
25168	21296	0.039898
27104	21296	0.056456
29040	21296	0.066473
30976	21296	0.047684
32912	21296	0.039636
34848	21296	0.103920
36784	21296	0.164287
38720	21296	0.193845
40656	21296	0.176491
42592	21296	0.115896
44528	21296	0.032865
46464	21296	0.093939
48400	21296	0.177215
50336	21296	0.219048
52272	21296	0.212788
54208	21296	0.161329
56144	21296	0.076266
58080	21296	0.062408
58100	21296	0.060305
0	23232	0.116297
1936	23232	0.024522
3872	23232	0.122386
5808	23232	0.189703
7744	23232	0.193768
9680	23232	0.138060
11616	23232	0.039185
13552	23232	0.073538
15488	23232	0.162210
17424	23232	0.202549
19360	23232	0.184127
21296	23232	0.110713
23232	23232	0.012579
25168	23232	0.099431
27104	23232	0.171482
29040	23232	0.196870
30976	23232	0.156065
32912	23232	0.076754
34848	23232	0.036004
36784	23232	0.126921
38720	23232	0.187523
40656	23232	0.188534
42592	23232	0.138528
44528	23232	0.054314
46464	23232	0.058990
48400	23232	0.143639
50336	23232	0.180443
52272	23232	0.156206
54208	23232	0.077782
56144	23232	0.047107
58080	23232	0.186240
58100	23232	0.187462
0	25168	0.245403
1936	25168	0.084249
3872	25168	0.039982
5808	25168	0.125114
7744	25168	0.139806
9680	25168	0.093061
11616	25168	0.030894
13552	25168	0.100278
15488	25168	0.173297
17424	25168	0.197332
19360	25168	0.155157
21296	25168	0.060720
23232	25168	0.084483
25168	25168	0.207402
27104	25168	0.301073
29040	25168	0.324604
30976	25168	0.281027
32912	25168	0.182336
34848	25168	0.057587
36784	25168	0.080103
38720	25168	0.162692
40656	25168	0.190075
42592	25168	0.154213
44528	25168	0.072422
46464	25168	0.043532
48400	25168	0.093473
50336	25168	0.129786
52272	25168	0.094494
54208	25168	0.029532
56144	25168	0.160710
58080	25168	0.334853
58100	25168	0.337383
0	27104	0.345152
1936	27104	0.173051
3872	27104	0.028811
5808	27104	0.070642
7744	27104	0.098719
9680	27104	0.062999
11616	27104	0.038023
13552	27104	0.112814
15488	27104	0.183502
17424	27104	0.194069
19360	27104	0.136571
21296	27104	0.044381
23232	27104	0.146658
25168	27104	0.278343
27104	27104	0.389442
29040	27104	0.423328
30976	27104	0.367949
32912	27104	0.255270
34848	27104	0.100879
36784	27104	0.045866
38720	27104	0.150005
40656	27104	0.191231
42592	27104	0.164224
44528	27104	0.089427
46464	27104	0.028003
48400	27104	0.079751
50336	27104	0.102700
52272	27104	0.062429
54208	27104	0.085534
56144	27104	0.239948
58080	27104	0.431562
58100	27104	0.428485
0	29040	0.378640
1936	29040	0.207431
3872	29040	0.051320
5808	29040	0.050348
7744	29040	0.081167
9680	29040	0.058310
11616	29040	0.041676
13552	29040	0.120582
15488	29040	0.184289
17424	29040	0.188222
19360	29040	0.130994
21296	29040	0.039988
23232	29040	0.158622
25168	29040	0.314527
27104	29040	0.412386
