X	Y	Data
17430	49385	0.185330
20335	49385	0.183188
23240	49385	0.106690
26145	49385	0.034180
29050	49385	0.044570
31955	49385	0.085540
34860	49385	0.140926
37765	49385	0.166352
40670	49385	0.130103
43575	49385	0.040646
46480	49385	0.054175
49385	49385	0.121143
52290	49385	0.138471
55195	49385	0.112427
58100	49385	0.092556
0	52290	0.047190
2905	52290	0.154829
5810	52290	0.245682
8715	52290	0.214408
11620	52290	0.105468
14525	52290	0.096206
17430	52290	0.213235
20335	52290	0.200626
23240	52290	0.116701
26145	52290	0.014721
29050	52290	0.047392
31955	52290	0.074782
34860	52290	0.145218
37765	52290	0.184653
40670	52290	0.145772
43575	52290	0.043357
46480	52290	0.073716
49385	52290	0.142281
52290	52290	0.136450
55195	52290	0.070778
58100	52290	0.055298
0	55195	0.241243
2905	55195	0.023848
5810	55195	0.161185
8715	55195	0.165946
11620	55195	0.083895
14525	55195	0.111128
17430	55195	0.212750
20335	55195	0.157361
23240	55195	0.038189
26145	55195	0.115916
29050	55195	0.142452
31955	55195	0.071182
34860	55195	0.067166
37765	55195	0.139354
40670	55195	0.129328
43575	55195	0.050130
46480	55195	0.071929
49385	55195	0.114389
52290	55195	0.073752
55195	55195	0.068865
58100	55195	0.176336
0	58100	0.503400
2905	58100	0.189894
5810	58100	0.035519
8715	58100	0.073669
11620	58100	0.049183
14525	58100	0.138508
17430	58100	0.190138
20335	58100	0.087929
23240	58100	0.130244
26145	58100	0.273636
29050	58100	0.296403
31955	58100	0.201933
34860	58100	0.046150
37765	58100	0.080367
40670	58100	0.115280
43575	58100	0.066864
46480	58100	0.061969
49385	58100	0.073058
52290	58100	0.058143
55195	58100	0.194157
58100	58100	0.364513
